2020-10-01 10:53:16.183 [main] INFO  eu.mihosoft.freerouting.FreeRouting - Freerouting application is started.
2020-10-01 10:53:16.688 [main] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'MainApplication.main()' was performed in 15.77 seconds.
2020-10-01 10:53:37.880 [AWT-EventQueue-0] INFO  eu.mihosoft.freerouting.FreeRouting - Opening 'airpcb_smd.dsn'...
2020-10-01 10:53:39.488 [AWT-EventQueue-0] INFO  eu.mihosoft.freerouting.FreeRouting - Opening 'airpcb_smd.rules'...
2020-10-01 10:53:39.491 [AWT-EventQueue-0] ERROR eu.mihosoft.freerouting.FreeRouting - File 'airpcb_smd.rules' was not found.
2020-10-01 10:53:44.889 [AWT-EventQueue-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:53:51.438 [Thread-0] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'BatchAutorouter.autoroute_pass #1 on board '5c784321bb20556b422d0fdbf1e83670' making 118 changes' was performed in 6.28 seconds.
2020-10-01 10:53:54.898 [Thread-0] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'BatchAutorouter.autoroute_pass #2 on board 'e93ffc89a273f7dec6d52df947b1e925' making 61 changes' was performed in 3.40 seconds.
2020-10-01 10:53:56.715 [Thread-0] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'BatchAutorouter.autoroute_pass #3 on board '40838c0e72ff29db251b7a5e863c7bc6' making 48 changes' was performed in 1.73 seconds.
2020-10-01 10:53:57.615 [Thread-0] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'BatchAutorouter.autoroute_pass #4 on board '5be8a27eb1aa77c745b76fa0968fb8f8' making 33 changes' was performed in 0.85 seconds.
2020-10-01 10:53:59.008 [Thread-0] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'BatchAutorouter.autoroute_pass #5 on board '15ddaa3344bf9c28015392c8812a6e82' making 36 changes' was performed in 1.32 seconds.
2020-10-01 10:54:00.259 [Thread-0] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'BatchAutorouter.autoroute_pass #6 on board '7d1fbce28220e68d189d9e0058530440' making 36 changes' was performed in 1.21 seconds.
2020-10-01 10:54:00.603 [Thread-0] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'BatchAutorouter.autoroute_pass #7 on board 'd258ee24f3438f3bb16d065721369bdd' making 11 changes' was performed in 0.28 seconds.
2020-10-01 10:54:01.426 [Thread-0] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'BatchAutorouter.autoroute_pass #8 on board '6b4a6cc64d12649ef6817d9a1db4ea74' making 6 changes' was performed in 0.78 seconds.
2020-10-01 10:54:01.493 [Thread-0] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'BatchAutorouter.autoroute_pass #9 on board '36647a7206f7bb948a111159672cc36d' making 0 changes' was performed in 0.01 seconds.
2020-10-01 10:54:01.531 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:01.625 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:01.689 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:01.792 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:01.905 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:01.988 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:02.029 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:02.926 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:02.992 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:03.105 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:03.256 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:04.015 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:04.621 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:05.128 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:05.194 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:05.492 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:05.600 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:05.660 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:05.712 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:05.803 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:05.849 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:05.918 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:06.002 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:06.089 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:06.188 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:06.286 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:06.371 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:06.467 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:06.566 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:06.650 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:06.771 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:06.860 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:06.949 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:07.029 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:07.102 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:07.579 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:07.736 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:07.950 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:08.748 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:08.809 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:08.924 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:08.962 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:09.173 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:09.308 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:09.473 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:10.026 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:10.353 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:10.594 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:11.065 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:11.127 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:11.668 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:11.772 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:11.803 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:11.829 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:11.973 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:12.074 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:12.105 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:12.131 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:12.158 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:12.200 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:12.227 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:12.254 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:12.307 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:12.340 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:12.405 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:12.471 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:12.507 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:12.606 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:12.644 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:12.856 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:12.906 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:12.945 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:13.115 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:13.173 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-10-01 10:54:13.223 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
